cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,objname_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
1551,28.408796,-115.811851,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL100A_J132950.1+471130,green,202.459093,47.191715,0.000036,0.000025,14522.958,9.482,null,3609.510,18.878,null,0.000000,f,1342178524
1551,29.725492,-118.140398,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132950.1+471129,blue,202.458833,47.191256,0.000060,0.000041,8062.450,3.032,null,2032.160,18.638,null,0.000000,f,1342178540
1551,29.734046,-117.082808,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132950.0+471129,blue,202.458725,47.191390,0.000046,0.000032,7532.778,2.793,null,2121.775,16.680,null,0.000000,f,1342178528
1551,29.744377,-117.745022,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132950.1+471129,blue,202.458786,47.191304,0.000048,0.000032,7919.441,3.029,null,2025.354,16.690,null,0.000000,f,1342178536
1551,29.854616,84.395374,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132955.6+471145,blue,202.481693,47.195960,0.000015,0.000010,8327.482,2.094,3.350,2616.684,17.093,9.126,0.533908,f,1342188328
1551,29.926349,-117.432015,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132950.0+471129,blue,202.458690,47.191321,0.000048,0.000033,7957.108,2.940,null,2076.489,18.867,null,0.000000,f,1342178532
1551,30.108880,-111.131264,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132949.9+471132,blue,202.458067,47.192135,0.000020,0.000014,8739.589,1.467,null,3555.761,15.671,null,0.000000,f,1342188328
1551,30.437471,87.733453,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL100A_J132955.6+471144,green,202.481980,47.195485,0.000026,0.000018,14271.494,9.300,null,3288.115,28.064,null,0.000000,f,1342178512
1551,30.439239,89.089818,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL100A_J132955.6+471143,green,202.481989,47.195285,0.000025,0.000017,13295.241,9.285,null,3090.429,29.664,null,0.000000,f,1342178520
1551,31.071648,89.714050,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132955.7+471143,blue,202.482249,47.195193,0.000032,0.000022,7970.827,3.030,null,1958.666,15.402,8.677,0.563353,f,1342178532
1551,31.355933,90.297888,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132955.7+471142,blue,202.482365,47.195105,0.000038,0.000026,7929.576,3.107,null,1924.937,15.215,8.850,0.581676,f,1342178536
1551,31.381646,89.157213,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132955.7+471143,blue,202.482374,47.195279,0.000032,0.000022,8195.162,3.021,null,1991.858,16.431,9.132,0.555788,f,1342178528
