cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
3020,5.669139,145.255831,156.75,28.64,VFID3019,NGC3245A,HPESL160A_J102701.3+283817,red,156.755778,28.638052,0.000344,0.000302,330.801,8.071,8.414,62.594,41.078,13.433,0.32702,f,1342255930
3027,1.339414,-11.090887,162.05,28.60,VFID3026,NGC3380,HPESL160A_J104812.1+283608,red,162.050623,28.60217,0.000148,0.00013,1232.672,18.882,7.116,102.11,31.971,null,0,f,1342255920
3085,5.596674,-65.252377,166.01,28.04,VFID3084,NGC3512,HPESL160A_J110402.5+280215,red,166.010669,28.037436,0.000519,0.000459,2208.031,24.842,11.031,162.992,35.226,null,0,f,1342255296
3096,6.477287,104.516579,188.99,27.96,VFID3095,NGC4559,HPESL160A_J123558.1+275733,red,188.992313,27.959233,0.000023,0.000021,2023.677,13.775,2.932,289.196,28.608,26.246,0.917417,t,1342187067
3106,1.110849,-50.374075,162.82,27.85,VFID3105,UGC05958,HPESL160A_J105115.7+275056,red,162.815788,27.848945,0.000183,0.000162,509.051,12.828,4.19,67.587,31.167,11.349,0.364124,f,1342255924
3157,7.518584,-123.152667,163.59,27.24,VFID3156,UGC06023,HPESL100A_J105420.4+271420,green,163.585228,27.238763,0.000084,0.000075,1859.144,18.538,null,232.855,22.713,null,0,f,1342255688
3175,10.083416,-149.237749,170.13,26.96,VFID3174,NGC3629,HPESL160A_J112031.4+265739,red,170.130926,26.960943,0.000524,0.000467,769.071,10.418,4.13,106.617,32.442,null,0,f,1342255509
3222,3.068424,34.177277,158.93,26.13,VFID3221,PGC031387,HPESL100A_J103542.1+260736,green,158.925755,26.12659,0.000064,0.000058,508.083,23.326,16.561,74.899,14.873,9.258,0.62247,f,1342255934
3235,1.844391,134.423705,189.09,25.99,VFID3234,NGC4565,HPESL160A_J123620.8+255914,red,189.087005,25.987163,0.000038,0.000034,7231.154,22.891,3.904,663.922,29.682,null,0,f,1342257997
3254,12.048288,29.930589,192.94,25.78,VFID3253,NGC4747,HPESL160A_J125146.2+254645,red,192.942585,25.779103,0.000075,0.000068,1469.195,8.213,7.917,383.629,33.693,13.305,0.394887,f,1342258030
3287,7.907191,-141.09275,192.61,25.50,VFID3286,NGC4725,HPESL160A_J125026.2+252957,red,192.609347,25.499041,0.000037,0.000034,1058.141,13.798,9.571,114.225,55.844,20.07,0.359399,t,1342198481
3301,1.731971,-109.303097,155.24,25.36,VFID3300,UGC05588,HPESL100A_J102057.0+252153,green,155.237571,25.364762,0.000035,0.000032,2111.093,84.969,null,78.388,16.535,13.64,0.824946,f,1342255471
3460,0.747037,178.041882,163.15,22.93,VFID3459,NGC3437,HPESL160A_J105235.7+225602,red,163.14891,22.933936,0.000023,0.000021,11590.091,30.98,24.356,1010.39,24.658,13.196,0.535173,f,1342255300
3503,5.162765,-94.953774,184.39,22.54,VFID3502,UGC07321,HPESL100A_J121733.6+223224,green,184.39026,22.540138,0.000091,0.000084,322.207,9.845,7.095,83.475,22.417,7.365,0.328539,f,1342246146
3547,2.054539,-105.296618,154.45,21.87,VFID3546,NGC3187,HPESL100A_J101747.7+215223,green,154.448759,21.873178,0.000075,0.00007,933.267,11.505,null,185.372,21.746,null,0,f,1342207146
3552,9.383678,-94.663209,154.53,21.83,VFID3551,NGC3190,HPESL160A_J101805.5+214957,red,154.523252,21.83247,0.00001,0.000009,6500.987,29.078,15.803,584.439,24.466,11.378,0.465058,t,1342207145
3565,6.677332,-158.797574,158.70,21.65,VFID3564,NGC3287,HPESL100A_J103447.1+213848,green,158.696353,21.646542,0.000082,0.000076,1807.478,12.781,null,316.023,16.947,null,0,f,1342255942
3655,13.707368,61.025742,172.31,20.58,VFID3654,IC0700,HPESL160A_J112916.1+203506,red,172.317278,20.585038,0.000353,0.000331,255.39,8.012,6.87,52.103,25.695,15.319,0.596175,f,1342255523
3758,3.238935,-44.691483,189.03,19.32,VFID3757,NGC4561,HPESL100A_J123607.9+191924,green,189.033252,19.32331,0.000153,0.000144,802.525,15.716,null,99.804,19.268,null,0,f,1342258036
3823,17.093637,27.07536,187.11,18.42,VFID3822,IC3391,HPESL100A_J122827.8+182509,green,187.116085,18.419305,0.000084,0.00008,415.428,9.099,4.071,119.186,13.939,6.081,0.43625,f,1342258038
3844,10.373476,-30.177103,170.00,18.26,VFID3843,UGC06341,HPESL100A_J112000.2+181547,green,170.001227,18.262954,0.000289,0.000275,52.551,3.305,5.446,42.299,28.473,null,0,t,1342255537
3885,31.294534,-160.982001,236.75,17.88,VFID3884,NGC5996,HPESL100A_J154658.1+175234,green,236.742369,17.876006,0.000038,0.000036,801.111,1.48,3.26,1403.803,19.996,9.101,0.455152,f,1342224359
3892,2.315497,91.798589,170.94,17.82,VFID3891,NGC3659,HPESL160A_J112345.7+174907,red,170.940405,17.818642,0.00009,0.000086,2763.917,25.616,14.194,214.356,28.229,null,0,f,1342255535
3951,7.373756,-75.105045,163.62,17.34,VFID3950,NGC3454,HPESL160A_J105429.0+172040,red,163.620946,17.34451,0.000123,0.000117,1481.813,16.732,12.518,163.526,54.34,10.961,0.201719,f,1342255304
3958,0.953743,-94.42052,163.63,17.28,VFID3957,NGC3455,HPESL100A_J105431.0+171705,green,163.629227,17.28471,0.000239,0.000228,1348.35,22.187,null,125.251,25.184,null,0,f,1342255304
3959,1.061355,51.766325,161.77,17.27,VFID3958,NGC3370,HPESL100A_J104704.1+171626,green,161.767069,17.27384,0.000024,0.000023,4327.383,31.513,null,318.93,19.163,9.755,0.509052,f,1342255306
3962,1.390009,-143.87536,168.61,17.26,VFID3961,NGC3592,HPESL100A_J111427.2+171535,green,168.613649,17.259757,0.000079,0.000075,483.036,14.202,7.799,96.708,21.714,7.6,0.349982,f,1342255543
3967,29.125751,-64.020757,171.93,17.22,VFID3966,NGC3686,HPESL100A_J112742.1+171340,green,171.925526,17.22766,0.000056,0.000053,1086.438,7.071,3.336,383.528,16.802,7.678,0.456958,f,1342255529
3980,1.468735,74.277223,187.12,17.08,VFID3979,NGC4450,HPESL160A_J122829.6+170506,red,187.123393,17.085009,0.00009,0.000086,1496.267,15.658,5.446,196.88,24.202,15.494,0.640169,f,1342258040
3981,0.704576,-63.986141,171.80,17.03,VFID3980,NGC3684,HPESL160A_J112711.1+170149,red,171.796418,17.030296,0.000124,0.000118,2600.002,18.105,7.271,273.344,31.64,19.721,0.6233,f,1342255527
3986,12.213758,43.891704,172.04,16.92,VFID3985,NGC3691,HPESL160A_J112810.0+165522,red,172.041668,16.922889,0.000143,0.000137,1138.576,12.451,9.215,150.462,37.294,null,0,f,1342255525
