VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,prefix
VFID0038,132.10166700000002,73.6712778,1896.0,10.141944885253906,True,NGC2636,24747,0,0,0,NGC 2636,True,False,False,False,VFID0038,False,False,False,True,True,False,VFID0038-NGC2636
VFID0039,188.6601795,73.6666935,1186.8,24.217050552368164,True,UGC07745,41809,0,0,0,UGC 07745,True,False,False,False,VFID0039,False,False,False,False,True,False,VFID0039-UGC07745
VFID0040,279.634545,73.6567366,1404.0,25.183799743652344,True,PGC062173,62173,0,0,0,MCG +12-17-027,True,False,False,False,VFID0040,False,False,False,True,True,False,VFID0040-MCG+12-17-027
VFID0041,126.95062499999999,73.6513333,2140.0,24.050342559814453,True,UGC04389,23732,0,0,0,UGC 04389,True,False,False,False,VFID0041,False,False,False,True,True,False,VFID0041-UGC04389
VFID0042,127.27170000000001,73.629097,2844.5,17.78775978088379,True,PGC023809,23809,0,0,0,KUG 0823+737,True,False,False,False,VFID0042,False,False,False,False,True,False,VFID0042-KUG0823+737
VFID0043,190.9086435,73.6133058,1667.2,40.09786605834961,True,UGC07908,42818,0,0,0,UGC 07908,True,False,False,False,VFID0043,False,False,False,True,True,False,VFID0043-UGC07908
VFID0044,279.748125,73.6099707,1519.6,39.54770278930664,True,UGC11331,62191,0,0,0,UGC 11331,True,False,False,False,VFID0044,False,False,False,True,True,False,VFID0044-UGC11331
VFID0045,138.0624165,73.5940833,2281.0,30.0,False,PGC025939,25939,0,0,0,CGCG 332-033,True,False,False,False,VFID0045,False,False,False,True,True,False,VFID0045-CGCG332-033
VFID0046,279.8548155,73.580134,1556.0,63.258846282958984,True,NGC6654A,62207,0,0,0,NGC 6654A,True,False,False,False,VFID0046,False,False,False,True,True,False,VFID0046-NGC6654A
VFID0047,131.990334,73.5393333,2380.7,39.005088806152344,True,IC2389,24711,0,0,0,IC 2389,True,False,False,False,VFID0047,False,False,False,True,True,False,VFID0047-IC2389
VFID0048,126.96500999999999,73.5170624,2169.2,44.68083190917969,True,UGC04390,23731,0,0,0,UGC 04390,True,False,False,False,VFID0048,False,False,False,True,True,False,VFID0048-UGC04390
VFID0049,108.585708,73.4806204,2795.7,64.13886260986328,True,PGC020460,20460,0,0,0,UGC 03730,True,False,False,False,VFID0049,False,False,False,True,True,False,VFID0049-UGC03730
VFID0050,108.584667,73.4733889,2707.0,30.0,False,PGC200231,200231,0,0,0,UGC 03730 NED02,True,False,False,False,VFID0050,False,False,False,True,True,False,VFID0050-UGC03730NED02
VFID0051,108.046542,73.4706111,2685.0,36.15107727050781,True,UGC03705,20383,0,0,0,UGC 03705,True,False,False,False,VFID0051,False,False,False,True,True,False,VFID0051-UGC03705
VFID0052,259.0219695,73.4360503,1253.4,32.74320983886719,True,UGC10803,59971,634197,147869,0,UGC 10803,True,True,True,False,VFID0052,False,False,False,True,True,True,VFID0052-UGC10803
VFID0053,268.56899999999996,73.4239444,1337.0,28.321826934814453,True,NGC6538,61072,0,0,0,NGC 6538,True,False,False,False,VFID0053,False,False,False,True,True,False,VFID0053-NGC6538
VFID0054,126.20955900000001,73.4119916,2341.6,47.219486236572266,True,NGC2551,23608,0,0,0,NGC 2551,True,False,False,False,VFID0054,False,False,False,True,True,False,VFID0054-NGC2551
VFID0055,154.223655,73.4007336,2814.1,123.34491729736328,True,NGC3147,30019,0,0,0,NGC 3147,True,False,False,False,VFID0055,False,False,False,True,True,False,VFID0055-NGC3147
VFID0056,144.33534,73.3846596,2135.0,12.506081581115723,True,UGC05110,27386,0,0,0,UGC 05110,True,False,False,False,VFID0056,False,False,False,False,True,False,VFID0056-UGC05110
VFID0057,155.195925,73.2842714,2741.7,30.277585983276367,True,UGC05570,30239,0,0,0,UGC 05570,True,False,False,False,VFID0057,False,False,False,False,True,False,VFID0057-UGC05570
VFID0058,133.31475,73.1888333,2316.3,18.160226821899414,True,PGC024949,24949,0,0,0,UGCA 146,True,False,False,False,VFID0058,False,False,False,True,True,False,VFID0058-UGCA146
VFID0059,276.03133349999996,73.18325,1832.4,87.3215103149414,True,NGC6654,61833,0,0,0,NGC 6654,True,False,False,False,VFID0059,False,False,False,True,True,False,VFID0059-NGC6654
VFID0060,193.7208855,73.1783368,1543.5,52.737709045410156,True,UGC08052,43975,0,0,0,UGC 08052,True,False,False,False,VFID0060,False,False,False,True,True,False,VFID0060-UGC08052
VFID0061,120.509523,73.0453448,3165.0,45.82698059082031,True,UGC04137,22534,0,0,0,UGC 04137,True,False,False,False,VFID0061,False,False,False,True,True,False,VFID0061-UGC04137
VFID0062,113.878335,72.968333,2592.0,30.0,False,PGC3085816,3085816,0,0,0,GALEXASC J073530.99+725804.2,True,False,False,False,VFID0062,False,False,False,False,True,False,VFID0062-GALEXASCJ073530.99+725804.2
VFID0063,124.87912200000001,72.9678005,2239.5,21.238372802734375,True,PGC090836,90836,0,0,0,FGC 0739,True,False,False,False,VFID0063,False,False,False,False,True,False,VFID0063-FGC0739
VFID0064,113.09656799999999,72.9086921,3035.5,18.49785041809082,True,UGC03878,21230,0,0,0,UGC 03878,True,False,False,False,VFID0064,False,False,False,False,True,False,VFID0064-UGC03878
VFID0065,131.9899995,72.8957222,3123.0,37.76776123046875,True,NGC2641,24722,0,0,0,NGC 2641,True,False,False,False,VFID0065,False,False,False,True,True,False,VFID0065-NGC2641
VFID0066,192.53004149999998,72.8744722,1622.9,71.9649887084961,True,NGC4750,43426,0,0,0,NGC 4750,True,False,False,False,VFID0066,False,False,False,True,True,False,VFID0066-NGC4750
