|    VFID|                RA|               DEC|                vr|    radius|radius_flag|                  objname|    PGC|NSAIDV1|NSAIDV0|   AGC|                     NEDname|HLflag|NSAV1flag|NSAV0flag|A100flag| VFID_V1|COflag|HAflag|HAobsflag|Z0MGSflag|Steerflag|unwiseflag|                              prefix|Herschelflag|HerschelFlag|
|    char|            double|            double|            double|     float|       char|                     char|   long|   long|   long|  long|                        char|  char|     char|     char|    char|    char|  char|  char|     char|     char|     char|      char|                                char|        char|        char|
|        |                  |                  |                  |    arcsec|           |                         |       |       |       |      |                            |      |         |         |        |        |      |      |         |         |         |          |                                    |            |            |
|    null|              null|              null|              null|      null|       null|                     null|   null|   null|   null|  null|                        null|  null|     null|     null|    null|    null|  null|  null|     null|     null|     null|      null|                                null|        null|        null|
 VFID1546         202.497309         47.2660603 472.29998779296875  164.86226        True                   NGC5195   47413       0       0      0                 MESSIER 051b   True     False     False    False VFID1548  False  False      True      True      True      False                 VFID1546-MESSIER051b        False        False 
 VFID1550         202.469547          47.195151 460.79998779296875  411.26462        True                   NGC5194   47404       0       0      0                 MESSIER 051a   True     False     False    False VFID1552  False   True      True      True      True      False                 VFID1550-MESSIER051a         True         True 
 VFID1552        133.6686735         47.1047021             1763.5  42.669865        True                  UGC04659   25012  130945   26583      0                    UGC 04659   True      True      True    False VFID1554   True  False      True      True      True       True                    VFID1552-UGC04659        False        False 
 VFID1559         203.327223         47.0409606             2638.3    8.79268        True   SDSSJ133318.53+470227.5 4016085  301992   61703      0    WISEA J133318.59+470228.0   True      True      True    False VFID1561  False   True      True     False      True       True    VFID1559-WISEAJ133318.59+470228.0        False        False 
 VFID1571 202.13858850000003         46.9271625             2714.3  51.182472        True                    IC4263   47270  301959   61693      0                      IC 4263   True      True      True    False VFID1573   True   True      True      True      True       True                      VFID1571-IC4263        False        False 
 VFID1578         202.150656         46.7678162             2437.8 12.6217985        True                PGC2286797 2286797  301961   61694      0    WISEA J132836.15+464604.0   True      True      True    False VFID1580  False  False      True     False      True       True    VFID1578-WISEAJ132836.15+464604.0        False        False 
 VFID1587         202.349667         46.6796508             2805.4  10.283033        True   SDSSJ132923.89+464046.0 4569104       0       0      0    WISEA J132923.86+464046.5   True     False     False    False VFID1589  False  False      True     False      True       True    VFID1587-WISEAJ132923.86+464046.5        False        False 
 VFID1588        202.0418445         46.6721353             2414.6  45.302406        True                   NGC5169   47231  301956   61691      0                     NGC 5169   True      True      True    False VFID1590   True  False      True      True      True       True                     VFID1588-NGC5169        False        False 
 VFID1589 202.54754100000002         46.6708056             2467.6  60.830482        True                   NGC5198   47441  630351  143555      0                     NGC 5198   True      True      True    False VFID1591   True  False      True      True      True       True                     VFID1589-NGC5198        False        False 
 VFID1593        202.1053275         46.5916096             2421.3  32.970177        True                   NGC5173   47257  301953   61690      0                     NGC 5173   True      True      True    False VFID1595   True   True      True      True      True       True                     VFID1593-NGC5173        False        False 
 VFID1594         203.190303         46.5852879             2565.5   8.377631        True   SDSSJ133245.69+463506.8 4003680  301983   61700      0    WISEA J133245.70+463506.7   True      True      True    False VFID1596  False   True      True     False      True       True    VFID1594-WISEAJ133245.70+463506.7        False        False 
 VFID1595 202.46325299999998         46.5823588             2775.8   10.66894        True   SDSSJ132951.17+463456.9 4012049  630344  143545      0    WISEA J132951.25+463456.9   True      True      True    False VFID1597  False  False      True     False      True       True    VFID1595-WISEAJ132951.25+463456.9        False        False 
 VFID1604 202.31382299999999         46.5024027             2560.6  24.050343        True                 PGC047323   47323  613133       0      0                 CGCG 246-006   True      True     False    False VFID1606  False   True      True     False      True       True                 VFID1604-CGCG246-006        False        False 
 VFID1605        202.1401905         46.4998862             2559.6  27.613487        True                 PGC047274   47274  301957   61692      0               MCG +08-25-006   True      True      True    False VFID1607   True   True      True      True      True       True               VFID1605-MCG+08-25-006        False        False 
 VFID1628         202.207362         46.2623862             2621.1  25.416822        True                 PGC047295   47295  301832   61674      0                 CGCG 246-005   True      True      True    False VFID1630   True  False      True      True      True       True                 VFID1628-CGCG246-005        False        False 
 VFID1648 126.82514699999999         46.0326426             2205.2  13.308259        True   SDSSJ082718.00+460157.3 4580946   77449   15877      0               MCG +08-16-005   True      True      True    False VFID1650   True  False      True     False      True       True               VFID1648-MCG+08-16-005        False        False 
 VFID1654         126.518238         45.9676154             2129.4  47.766262        True                  UGC04393   23660   77443   15876      0                    UGC 04393   True      True      True    False VFID1656  False  False      True      True      True       True                    VFID1654-UGC04393        False        False 
 VFID1681         135.015015         45.5738535             1916.2  24.272877        True   SDSSJ090003.59+453425.8 3997262  164217   33786      0     SDSS J090003.58+453425.7   True      True      True    False VFID1683  False   True      True     False      True       True     VFID1681-SDSSJ090003.58+453425.7        False        False 
 VFID1726        134.8769295         44.9139338             1818.0  87.926796        True                   NGC2712   25248  623002  135594      0                     NGC 2712   True      True      True    False VFID1728   True   True      True      True      True       True                     VFID1726-NGC2712        False        False 
 VFID1754         180.790416         44.5312149              704.3  177.06032        True                   NGC4051   38068  627684  140667      0                     NGC 4051   True      True      True    False VFID1756   True   True      True      True      True      False                     VFID1754-NGC4051         True         True 
 VFID1789         206.598645          43.872219             2405.9 111.717514        True                   NGC5297   48815  630620  143856      0                     NGC 5297   True      True      True    False VFID1791   True   True      True      True      True      False                     VFID1789-NGC5297        False        False 
 VFID1792         206.577792         43.8513471             2249.9  28.387115        True                   NGC5296   48811  677369  163972      0                     NGC 5296   True      True      True    False VFID1794  False   True      True      True      True       True                     VFID1792-NGC5296        False        False 
 VFID1793         208.200051         43.8279831             2269.6  26.128908        True                  UGC08798   49299  678082  164153      0                    UGC 08798   True      True      True    False VFID1795  False   True      True      True      True       True                    VFID1793-UGC08798        False        False 
 VFID1802 207.09717750000002         43.7084955             2285.2  19.192045        True                 PGC048971   48971  265851   54614      0                 CGCG 218-049   True      True      True    False VFID1804  False   True      True     False      True       True                 VFID1802-CGCG218-049        False        False 
 VFID1803 183.32036100000002         43.6985004              919.9  128.56456        True                   NGC4183   38988  298117   60664      0                     NGC 4183   True      True      True    False VFID1805  False  False      True      True      True       True                     VFID1803-NGC4183         True         True 
 VFID1804        182.3740425         43.6852719              875.5   85.53055        True                   NGC4138   38643  665798  161123      0                     NGC 4138   True      True      True    False VFID1806   True   True      True      True      True       True                     VFID1804-NGC4138         True         True 
 VFID1807         207.238716         43.6000696             1156.0       30.0        True                 PGC166182  166182       0       0      0    WISEA J134857.31+433600.0   True     False     False    False VFID1809  False   True      True     False      True       True    VFID1807-WISEAJ134857.31+433600.0        False        False 
 VFID1811        207.7990665         43.5555586             2289.2  29.317116        True                  UGC08767   49184  265882   54617      0                    UGC 08767   True      True      True    False VFID1813  False   True      True      True      True       True                    VFID1811-UGC08767        False        False 
 VFID1817         183.889305         43.4341353              552.3  35.246925        True                  UGC07271   39211  666472  161320      0                    UGC 07271   True      True      True    False VFID1819   True  False      True      True      True       True                    VFID1817-UGC07271        False        False 
 VFID1819        207.1623735         43.4126147             2336.1    58.3608        True                  UGC08733   48989  265830   54612      0                    UGC 08733   True      True      True    False VFID1821   True   True      True      True      True       True                    VFID1819-UGC08733        False        False 
 VFID1820        152.9704575         43.4083738             2215.5   16.29751        True                 PGC029699   29699  234692   48221      0                 KUG 1008+436   True      True      True    False VFID1822  False   True      True     False      True       True                 VFID1820-KUG1008+436        False        False 
 VFID1830 208.04077049999998         43.2429026             2331.6   36.65399        True                   NGC5336   49250  265889   54619      0                     NGC 5336   True      True      True    False VFID1832   True   True      True      True      True       True                     VFID1830-NGC5336        False        False 
 VFID1832         182.454615         43.2346966             1059.2  31.558857        True                  UGC07146   38673  627851  140851      0                    UGC 07146   True      True      True    False VFID1834  False  False      True     False      True       True                    VFID1832-UGC07146        False        False 
 VFID1842          153.20238         43.1455269             2245.3   49.44487        True                    IC0598   29745  234702   48222      0                      IC 0598   True      True      True    False VFID1844   True   True      True      True      True       True                      VFID1842-IC0598        False        False 
 VFID1844 181.49099999999999         43.1437943              772.7   96.18808        True                  UGC07089   38356  612218  161040      0                    UGC 07089   True      True      True    False VFID1846  False   True      True      True      True       True                    VFID1844-UGC07089        False        False 
 VFID1847         208.009761         43.1282659             2334.5   10.79248        True   SDSSJ135202.34+430741.7 4012192  265884   54618      0     SDSS J135202.34+430741.7   True      True      True    False VFID1849  False   True      True     False      True       True     VFID1847-SDSSJ135202.34+430741.7        False        False 
 VFID1848         181.942092         43.1263282              946.7  47.110886        True                   NGC4117   38503  298087   60658      0                     NGC 4117   True      True      True    False VFID1850  False   True      True      True      True       True                     VFID1848-NGC4117        False        False 
 VFID1850         181.970247         43.1110588              637.5  20.376108        True                   NGC4118   38507  297555   60524      0                     NGC 4118   True      True      True    False VFID1852  False   True      True     False      True       True                     VFID1850-NGC4118        False        False 
 VFID1853         181.762722         43.0656532              782.8   53.34838        True                   NGC4111   38440  612245  140783      0                     NGC 4111   True      True      True    False VFID1855   True   True      True      True      True       True                     VFID1853-NGC4111        False        False 
 VFID1865 181.54477500000002         42.9557731              772.0   36.48558        True                  UGC07094   38375  297498   60496      0                    UGC 07094   True      True      True    False VFID1867  False   True      True      True      True       True                    VFID1865-UGC07094        False        False 
 VFID1870 181.49812050000003         42.9026077              766.8  15.001036        True   SDSSJ120559.53+425409.5 4536809  627765  140756      0     SDSS J120559.53+425409.5   True      True      True    False VFID1872  False   True      True     False      True       True     VFID1870-SDSSJ120559.53+425409.5        False        False 
 VFID1899 182.40029099999998         42.5341832              957.1     79.455        True                   NGC4143   38654  665808  161130      0                     NGC 4143   True      True      True    False VFID1901   True  False      True      True      True       True                     VFID1899-NGC4143        False        False 
 VFID1912 209.45608950000002         42.2248116             1368.8   23.93984        True   SDSSJ135749.50+421329.5 3484228  265965   54635      0     SDSS J135749.50+421329.5   True      True      True    False VFID1914  False   True      True     False      True       True     VFID1912-SDSSJ135749.50+421329.5        False        False 
