cntr_01,dist_x,pang_x,vfid_01,ra_01,dec_01,vr_01,radius_01,radius_flag_01,objname_01,pgc_01,nsaidv1_01,nsaidv0_01,agc_01,nedname_01,hlflag_01,nsav1flag_01,nsav0flag_01,a100flag_01,vfid_v1_01,coflag_01,haflag_01,haobsflag_01,z0mgsflag_01,steerflag_01,unwiseflag_01,prefix_01,col24_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid,ROW_IDX,ROW_NUM
535,2.411445,-71.243112,VFID5842,2.0874352950E+02,5.3337007000E+00,1.3698000000E+03,8.4941757202E+01,True,NGC5356,49468,153757,31560,8831,NGC 5356,True,True,True,True,VFID5859,True,True,True,True,True,True,VFID5842-NGC5356,"(b'VFID5842', 208.7435295, 5.3337007, 1369.8, 84.94176, True, b'NGC5356', 49468, 153757, 31560, 8831, b'NGC 5356', True, True, True, True, b'VFID5859', True, True, True, True, True, True, b'VFID5842-NGC5356')",HPESL100A_J135458.2+052002,green,208.742892,5.333916,0.000058,0.000058,1210.593,14.630,null,202.437,21.418,9.022,0.421232,f,1342259304,30,30
535,2.518583,-79.178771,VFID5842,2.0874352950E+02,5.3337007000E+00,1.3698000000E+03,8.4941757202E+01,True,NGC5356,49468,153757,31560,8831,NGC 5356,True,True,True,True,VFID5859,True,True,True,True,True,True,VFID5842-NGC5356,"(b'VFID5842', 208.7435295, 5.3337007, 1369.8, 84.94176, True, b'NGC5356', 49468, 153757, 31560, 8831, b'NGC 5356', True, True, True, True, b'VFID5859', True, True, True, True, True, True, b'VFID5842-NGC5356')",HPESL160A_J135458.2+052002,red,208.742839,5.333832,0.000085,0.000084,2013.163,20.934,11.096,172.382,54.468,15.528,0.285091,f,1342259304,31,31
538,2.899197,179.538854,VFID5855,2.0854691850E+02,5.2272860000E+00,1.4503000000E+03,1.1644510651E+02,True,NGC5348,49411,630795,144056,8821,NGC 5348,True,True,True,True,VFID5872,True,True,True,True,True,True,VFID5855-NGC5348,"(b'VFID5855', 208.5469185, 5.227286, 1450.3, 116.44511, True, b'NGC5348', 49411, 630795, 144056, 8821, b'NGC 5348', True, True, True, True, b'VFID5872', True, True, True, True, True, True, b'VFID5855-NGC5348')",HPESL160A_J135411.2+051335,red,208.546925,5.226481,0.000133,0.000133,674.842,14.944,9.299,74.706,26.231,12.398,0.472634,f,1342259306,32,32
538,3.036787,-179.685506,VFID5855,2.0854691850E+02,5.2272860000E+00,1.4503000000E+03,1.1644510651E+02,True,NGC5348,49411,630795,144056,8821,NGC 5348,True,True,True,True,VFID5872,True,True,True,True,True,True,VFID5855-NGC5348,"(b'VFID5855', 208.5469185, 5.227286, 1450.3, 116.44511, True, b'NGC5348', 49411, 630795, 144056, 8821, b'NGC 5348', True, True, True, True, b'VFID5872', True, True, True, True, True, True, b'VFID5855-NGC5348')",HPESL100A_J135411.2+051335,green,208.546914,5.226442,0.000109,0.000108,407.521,15.483,null,81.855,14.064,null,0.000000,f,1342259306,33,33
546,3.520385,-46.877189,VFID5905,2.2074156000E+02,4.8896824000E+00,1.5841000000E+03,6.2534725189E+01,True,IC1048,52564,88064,18301,9483,IC 1048,True,True,True,True,VFID5922,True,True,True,True,True,True,VFID5905-IC1048,"(b'VFID5905', 220.74156, 4.8896824, 1584.1, 62.534725, True, b'IC1048', 52564, 88064, 18301, 9483, b'IC 1048', True, True, True, True, b'VFID5922', True, True, True, True, True, True, b'VFID5905-IC1048')",HPESL160A_J144257.8+045325,red,220.740844,4.890351,0.000029,0.000029,3971.688,29.127,20.426,301.632,27.083,12.033,0.444311,f,1342261303,34,34
551,1.883114,165.577611,VFID5949,1.8561340350E+02,4.5662732000E+00,1.2793000000E+03,3.4050323486E+01,True,NGC4303A,40087,628205,141242,7439,NGC 4301,True,True,True,True,VFID5966,False,False,True,True,True,True,VFID5949-NGC4301,"(b'VFID5949', 185.6134035, 4.5662732, 1279.3, 34.050323, True, b'NGC4303A', 40087, 628205, 141242, 7439, b'NGC 4301', True, True, True, True, b'VFID5966', False, False, True, True, True, True, b'VFID5949-NGC4301')",HPESL070A_J122227.2+043357,blue,185.613534,4.565767,0.000246,0.000245,213.725,12.042,null,49.413,13.924,9.195,0.660409,f,1342225538,35,35
558,1.825257,100.971303,VFID6018,2.1501839700E+02,3.9927530000E+00,1.7302000000E+03,1.0354312134E+02,True,NGC5560,51223,680808,164836,9172,NGC 5560,True,True,True,True,VFID6035,True,True,True,True,True,True,VFID6018-NGC5560,"(b'VFID6018', 215.018397, 3.992753, 1730.2, 103.54312, True, b'NGC5560', 51223, 680808, 164836, 9172, b'NGC 5560', True, True, True, True, b'VFID6035', True, True, True, True, True, True, b'VFID6018-NGC5560')",HPESL160A_J142004.5+035934,red,215.018896,3.992657,0.000044,0.000044,3403.009,31.517,19.162,218.223,49.096,12.168,0.247842,f,1342259545,36,36
558,3.788621,102.091111,VFID6018,2.1501839700E+02,3.9927530000E+00,1.7302000000E+03,1.0354312134E+02,True,NGC5560,51223,680808,164836,9172,NGC 5560,True,True,True,True,VFID6035,True,True,True,True,True,True,VFID6018-NGC5560,"(b'VFID6018', 215.018397, 3.992753, 1730.2, 103.54312, True, b'NGC5560', 51223, 680808, 164836, 9172, b'NGC 5560', True, True, True, True, b'VFID6035', True, True, True, True, True, True, b'VFID6018-NGC5560')",HPESL100A_J142004.6+035933,green,215.019429,3.992533,0.000016,0.000016,2747.230,33.956,14.613,228.209,15.893,7.440,0.468157,f,1342259545,37,37
565,5.186063,-13.515227,VFID6048,2.1750768000E+02,3.7728979000E+00,1.7194000000E+03,2.8981525421E+01,True,IC1022,51808,87358,18052,9311,IC 1022,True,True,True,True,VFID6065,True,False,True,True,True,True,VFID6048-IC1022,"(b'VFID6048', 217.50768, 3.7728979, 1719.4, 28.981525, True, b'IC1022', 51808, 87358, 18052, 9311, b'IC 1022', True, True, True, True, b'VFID6065', True, False, True, True, True, True, b'VFID6048-IC1022')",HPESL100A_J143001.7+034627,green,217.507343,3.774299,0.000244,0.000244,247.621,10.886,null,73.800,23.765,null,0.000000,f,1342259166,38,38
569,1.494252,-41.797027,VFID6091,2.1530457150E+02,3.4358432000E+00,1.4891000000E+03,8.5925338745E+01,True,NGC5577,51286,87038,144923,9187,NGC 5577,True,True,True,True,VFID6108,True,True,True,True,True,True,VFID6091-NGC5577,"(b'VFID6091', 215.3045715, 3.4358432, 1489.1, 85.92534, True, b'NGC5577', 51286, 87038, 144923, 9187, b'NGC 5577', True, True, True, True, b'VFID6108', True, True, True, True, True, True, b'VFID6091-NGC5577')",HPESL160A_J142113.0+032610,red,215.304294,3.436153,0.000168,0.000168,1200.614,15.072,8.754,128.811,45.033,19.237,0.427189,f,1342259543,39,39
